benchmark,problem_id,config,seed,pass_all_tests,test_pass_rate,tokens_input,tokens_output,latency_seconds,revision_count,timestamp,model,error
HE,HumanEval/19,baseline,456,True,1.0,182,113,7.9777,0,2026-05-22T15:04:05.187025+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/20,baseline,42,True,1.0,245,120,10.2652,0,2026-05-22T15:05:07.337764+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/20,baseline,123,True,1.0,245,120,8.687,0,2026-05-22T15:06:10.191180+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/20,baseline,456,True,1.0,245,120,6.9263,0,2026-05-22T15:06:56.792834+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/21,baseline,42,True,1.0,204,64,4.4941,0,2026-05-22T15:07:43.773804+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/21,baseline,123,True,1.0,204,64,3.5854,0,2026-05-22T15:07:48.404837+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/21,baseline,456,True,1.0,204,64,3.813,0,2026-05-22T15:07:52.123050+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/22,baseline,42,False,0.0,170,39,2.919,0,2026-05-22T15:08:47.368528+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/22,baseline,123,False,0.0,170,39,2.2022,0,2026-05-22T15:08:50.409694+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/22,baseline,456,False,0.0,170,39,2.5458,0,2026-05-22T15:08:52.735300+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/23,baseline,42,True,1.0,119,19,1.4413,0,2026-05-22T15:09:32.944804+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/23,baseline,123,True,1.0,119,19,1.1625,0,2026-05-22T15:09:34.488098+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/23,baseline,456,True,1.0,119,19,1.2741,0,2026-05-22T15:09:35.747345+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/24,baseline,42,True,1.0,132,50,3.2873,0,2026-05-22T15:09:37.122432+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/24,baseline,123,True,1.0,132,49,2.7596,0,2026-05-22T15:09:41.018829+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/24,baseline,456,True,1.0,132,45,2.5402,0,2026-05-22T15:09:44.393120+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/25,baseline,42,True,1.0,205,83,5.721,0,2026-05-22T15:09:47.546855+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/25,baseline,123,True,1.0,205,77,4.3357,0,2026-05-22T15:10:46.000551+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/25,baseline,456,True,1.0,205,77,4.5672,0,2026-05-22T15:10:50.470965+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/26,baseline,42,False,0.0,161,58,3.8017,0,2026-05-22T15:11:41.621042+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/26,baseline,123,False,0.0,161,58,3.2575,0,2026-05-22T15:11:45.542149+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/26,baseline,456,False,0.0,161,58,3.5981,0,2026-05-22T15:11:48.919518+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/27,baseline,42,True,1.0,125,36,2.3923,0,2026-05-22T15:12:32.874990+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/27,baseline,123,True,1.0,125,36,2.0463,0,2026-05-22T15:12:35.375543+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/27,baseline,456,True,1.0,125,36,2.0609,0,2026-05-22T15:12:37.529901+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/28,baseline,42,True,1.0,134,26,2.1406,0,2026-05-22T15:12:39.698280+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/28,baseline,123,True,1.0,134,26,1.5704,0,2026-05-22T15:13:31.746076+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/28,baseline,456,True,1.0,134,26,1.5157,0,2026-05-22T15:13:33.425593+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/29,baseline,42,True,1.0,165,40,2.7536,0,2026-05-22T15:13:35.051817+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/29,baseline,123,True,1.0,165,40,2.5798,0,2026-05-22T15:13:37.911288+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/29,baseline,456,True,1.0,165,40,2.3152,0,2026-05-22T15:14:19.142517+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/30,baseline,42,True,1.0,195,26,2.4069,0,2026-05-22T15:14:21.567699+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/30,baseline,123,True,1.0,195,26,1.5105,0,2026-05-22T15:14:24.092863+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/30,baseline,456,True,1.0,195,26,1.5222,0,2026-05-22T15:14:25.717740+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/31,baseline,42,True,1.0,183,85,5.4386,0,2026-05-22T15:14:27.356299+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/31,baseline,123,True,1.0,183,57,3.0095,0,2026-05-22T15:15:20.682202+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/31,baseline,456,True,1.0,183,103,5.3294,0,2026-05-22T15:15:23.789184+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/32,baseline,42,False,0.0,338,182,11.0762,0,2026-05-22T15:15:29.212431+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/32,baseline,123,False,0.0,338,390,21.045,0,2026-05-22T15:16:20.463339+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/32,baseline,456,False,0.0,338,168,8.7947,0,2026-05-22T15:18:53.723426+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/33,baseline,42,True,1.0,227,92,5.9106,0,2026-05-22T15:19:02.584296+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/33,baseline,123,True,1.0,227,92,5.0183,0,2026-05-22T15:19:50.305329+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/33,baseline,456,True,1.0,227,96,5.0659,0,2026-05-22T15:20:45.441222+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/34,baseline,42,True,1.0,153,17,1.4453,0,2026-05-22T15:20:50.633597+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/34,baseline,123,True,1.0,153,17,0.9748,0,2026-05-22T15:20:52.196926+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/34,baseline,456,True,1.0,153,17,0.9716,0,2026-05-22T15:20:53.289942+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/35,baseline,42,True,1.0,164,17,1.6115,0,2026-05-22T15:20:54.378165+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/35,baseline,123,True,1.0,164,17,0.967,0,2026-05-22T15:20:56.102914+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/35,baseline,456,True,1.0,164,17,0.9878,0,2026-05-22T15:20:57.177795+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/36,baseline,42,True,1.0,163,66,4.3633,0,2026-05-22T15:20:58.279521+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/36,baseline,123,True,1.0,163,66,3.4471,0,2026-05-22T15:21:52.225382+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/36,baseline,456,True,1.0,163,63,3.665,0,2026-05-22T15:21:56.271931+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/37,baseline,42,True,1.0,200,81,5.0924,0,2026-05-22T15:22:53.641120+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/37,baseline,123,True,1.0,200,81,4.4858,0,2026-05-22T15:22:58.849980+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/37,baseline,456,True,1.0,200,81,4.2963,0,2026-05-22T15:23:50.410051+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/38,baseline,42,True,1.0,236,87,5.7222,0,2026-05-22T15:23:54.822829+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/38,baseline,123,True,1.0,236,87,4.6229,0,2026-05-22T15:24:48.485684+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/38,baseline,456,True,1.0,236,87,4.7955,0,2026-05-22T15:24:53.221705+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/39,baseline,42,False,0.0,177,103,6.0476,0,2026-05-22T15:25:52.174752+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/39,baseline,123,False,0.0,177,97,5.4394,0,2026-05-22T15:25:58.275015+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/39,baseline,456,False,0.0,177,103,5.4297,0,2026-05-22T15:26:49.834180+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/40,baseline,42,True,1.0,239,78,5.066,0,2026-05-22T15:26:55.317659+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/40,baseline,123,True,1.0,239,78,4.8691,0,2026-05-22T15:27:00.495142+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/40,baseline,456,True,1.0,239,78,4.0724,0,2026-05-22T15:27:44.267766+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/41,baseline,42,True,1.0,229,22,3.5129,0,2026-05-22T15:27:48.450379+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/41,baseline,123,True,1.0,229,22,1.2257,0,2026-05-22T15:28:45.073810+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/41,baseline,456,True,1.0,229,22,1.2624,0,2026-05-22T15:28:46.394001+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/42,baseline,42,True,1.0,190,24,1.9876,0,2026-05-22T15:28:47.738476+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/42,baseline,123,True,1.0,190,24,1.3324,0,2026-05-22T15:28:49.843021+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/42,baseline,456,True,1.0,190,24,1.3253,0,2026-05-22T15:28:51.282694+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/43,baseline,42,True,1.0,236,43,3.5214,0,2026-05-22T15:28:52.725145+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/43,baseline,123,True,1.0,236,43,2.37,0,2026-05-22T15:29:50.519200+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/43,baseline,456,True,1.0,236,43,2.3056,0,2026-05-22T15:29:53.001518+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/44,baseline,42,True,1.0,174,66,4.3082,0,2026-05-22T15:29:55.418243+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/44,baseline,123,True,1.0,174,66,3.5334,0,2026-05-22T15:30:41.447396+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/44,baseline,456,True,1.0,174,66,3.4564,0,2026-05-22T15:30:45.078521+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/45,baseline,42,True,1.0,123,23,1.6157,0,2026-05-22T15:30:48.631459+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/45,baseline,123,True,1.0,123,23,1.4175,0,2026-05-22T15:30:50.350869+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/45,baseline,456,True,1.0,123,23,1.2879,0,2026-05-22T15:31:35.030825+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/46,baseline,42,False,0.0,249,100,6.3103,0,2026-05-22T15:31:36.419385+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/46,baseline,123,False,0.0,249,100,5.9857,0,2026-05-22T15:31:42.826773+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/46,baseline,456,False,0.0,249,100,5.1971,0,2026-05-22T15:32:32.482080+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/47,baseline,42,True,1.0,157,64,4.1948,0,2026-05-22T15:32:37.776495+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/47,baseline,123,True,1.0,157,67,3.575,0,2026-05-22T15:33:24.231637+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/47,baseline,456,True,1.0,157,67,3.5087,0,2026-05-22T15:33:27.922921+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/48,baseline,42,True,1.0,149,24,2.1146,0,2026-05-22T15:33:31.558912+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/48,baseline,123,True,1.0,149,24,1.3174,0,2026-05-22T15:34:23.584923+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/48,baseline,456,True,1.0,149,24,1.3681,0,2026-05-22T15:34:24.998240+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/49,baseline,42,True,1.0,193,29,2.2135,0,2026-05-22T15:34:26.466993+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/49,baseline,123,True,1.0,193,29,1.5874,0,2026-05-22T15:34:28.780703+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/49,baseline,456,True,1.0,193,29,1.6047,0,2026-05-22T15:34:30.468481+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/50,baseline,42,True,1.0,168,45,3.1236,0,2026-05-22T15:34:32.171631+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/50,baseline,123,True,1.0,168,45,2.463,0,2026-05-22T15:35:24.124102+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/50,baseline,456,True,1.0,168,45,2.3992,0,2026-05-22T15:35:26.692613+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/51,baseline,42,True,1.0,201,38,3.0379,0,2026-05-22T15:35:29.194767+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/51,baseline,123,True,1.0,201,38,2.0348,0,2026-05-22T15:36:13.037241+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/51,baseline,456,True,1.0,201,38,2.1051,0,2026-05-22T15:36:15.173470+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/52,baseline,42,True,1.0,161,30,2.1084,0,2026-05-22T15:36:17.378312+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/52,baseline,123,True,1.0,161,30,1.6295,0,2026-05-22T15:36:19.584618+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/52,baseline,456,True,1.0,161,30,1.8945,0,2026-05-22T15:36:21.313195+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/53,baseline,42,True,1.0,130,24,1.6408,0,2026-05-22T15:37:10.770109+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/53,baseline,123,True,1.0,130,24,1.3828,0,2026-05-22T15:37:12.508789+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/53,baseline,456,True,1.0,130,24,1.3245,0,2026-05-22T15:37:13.987689+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/54,baseline,42,True,1.0,217,32,2.5386,0,2026-05-22T15:37:15.412242+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/54,baseline,123,True,1.0,217,32,1.7542,0,2026-05-22T15:37:18.042464+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/54,baseline,456,True,1.0,217,32,2.0238,0,2026-05-22T15:37:19.896756+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/55,baseline,42,True,1.0,131,64,3.8781,0,2026-05-22T15:38:06.050266+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/55,baseline,123,True,1.0,131,64,3.3499,0,2026-05-22T15:38:10.023278+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/55,baseline,456,True,1.0,131,64,3.3398,0,2026-05-22T15:38:13.468757+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/56,baseline,42,True,1.0,171,72,4.7183,0,2026-05-22T15:38:16.904871+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/56,baseline,123,True,1.0,171,72,3.8321,0,2026-05-22T15:39:12.883460+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/56,baseline,456,True,1.0,171,72,5.0385,0,2026-05-22T15:39:16.816450+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/57,baseline,42,True,1.0,169,52,3.4461,0,2026-05-22T15:40:00.835762+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/57,baseline,123,True,1.0,169,52,2.743,0,2026-05-22T15:40:04.383548+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/57,baseline,456,True,1.0,169,52,2.7618,0,2026-05-22T15:40:07.234377+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/58,baseline,42,True,1.0,199,29,2.3936,0,2026-05-22T15:40:56.284103+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
